2022-11-29 16:53:50,464 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3058 - Apache Camel 3.19.0 (camel-2) is starting
2022-11-29 16:53:50,467 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3220 - Routes startup (started:0)
2022-11-29 16:53:50,467 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3249 - Apache Camel 3.19.0 (camel-2) started in 38ms (build:5ms init:31ms start:2ms)
2022-11-29 16:53:50,471 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 61 - Started FhirEtlApplication in 1.915 seconds (JVM running for 2.214)
2022-11-29 16:53:53,050 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-29 16:53:53,051 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 525 - Initializing Servlet 'dispatcherServlet'
2022-11-29 16:53:53,051 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet 547 - Completed initialization in 0 ms
2022-11-29 16:56:45,666 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3454 - Apache Camel 3.19.0 (camel-2) is shutting down (timeout:45s)
2022-11-29 16:56:45,667 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 166 - Routes stopped (stopped:0)
2022-11-29 16:56:45,668 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3593 - Apache Camel 3.19.0 (camel-2) shutdown in 2ms (uptime:2m55s)
2022-11-29 16:57:03,208 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 55 - Starting FhirEtlApplication using Java 17.0.5 on June4693-450G7 with PID 25388 (C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test\target\classes started by June.Wu in C:\Users\june.wu\Desktop\cameltest\fhir_etl_ui\fhir_etl_test)
2022-11-29 16:57:03,210 [main] INFO  c.e.fhir_etl_test.FhirEtlApplication 631 - No active profile set, falling back to 1 default profile: "default"
2022-11-29 16:57:04,307 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
2022-11-29 16:57:04,317 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-29 16:57:04,317 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-29 16:57:04,317 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-29 16:57:04,432 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2022-11-29 16:57:04,433 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 292 - Root WebApplicationContext: initialization completed in 1171 ms
2022-11-29 16:57:04,721 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping 53 - Adding welcome page: class path resource [static/index.html]
2022-11-29 16:57:05,042 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2022-11-29 16:57:05,061 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-29 16:57:05,115 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3058 - Apache Camel 3.19.0 (camel-2) is starting
2022-11-29 16:57:05,119 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3220 - Routes startup (started:0)
